,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
150,Luna.,345,193,10,09564111566,"wts lfb ph
650 payo
not k-pop related!
— We Bare Bear Large Stuffed toy Panda 
I got it from Miniso for 800 php!
fr… https://t.co/va5TosNjMq"
151,tay,23543,786,0,he they + any neos,@jeIlyfishstan idk something from miniso
152,Denise,586,18,0,"Cebu City, Central Visayas","I’ve always wanted to buy the transparent umbrella in miniso, but in many times I didn’t give in. Tonight, i was ab… https://t.co/wcjuDU0mEs"
153,Herjuna Yusitratama,13596,323,0,Yogyakarta,One of my sleeping room corner after the Miniso storage box become a cassete box https://t.co/tuIO3DRESc
154,Harun aja,5383,59,0,"Jakarta Pusat, DKI Jakarta",RT @fashionjeketi: Azizi Asadel with Miniso Marvel U Shape Neck Pillow Spiderman. #JKT48Fashion https://t.co/oQa7E9pS1j
155,YouTube: Oyindrop,20282,926,0,Somewhere in the world,@Aderinsola_O @kunle_kenny @yoruba_dev Got mine from Miniso
156,Zee,39021,31327,24,South Africa,I didn’t need bath gloves but I can’t leave Miniso without buying something 😩 https://t.co/W2pRy0nCfA
157,Miniso,892,47,3,,best duo ever🌟🌟🌟💙 @mavi @SrnySrkyResmi https://t.co/NWFmS7HCBa
158,Blahblah,293,3,0,,RT @PhunnyHai: I walk around Miniso store without buying anything and call it free therapy.
159,𝕂𝕒𝕦𝕤𝕙𝕒𝕝🏳️‍🌈,50515,2452,0,"Bengaluru, India",@jaxannz I always visit this miniso/yoyoso/99stores and never buy anything 😂
160,gelthusiast,43,24,0,she her ,i saw a cute penguin stuff toy in miniso and i thought of chanhee
161,pancake,110,3,0,,"RT @miamoniquerolo: 49. Le Amor Body Shop Vanilla 20k https://t.co/HcNKR2M5JS

50. Pure Perfume Black Opium 45k https://t.co/4ccseAUwTm

51…"
162,luh,8003,240,0,/ svt / atz / nct / en- /,RT @standardhwa: oh what i'd do to get more footage like this of ateez recording the album in the studio https://t.co/TrVkfpgXz1
163,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @atzchoisedits: jongho as a cat

a thread ; https://t.co/e0k1wnLEZu"
164,luh,8003,240,0,/ svt / atz / nct / en- /,RT @atzxmxxshx: i hope hongjoong doesn’t experience any heavy/harsh symptoms and gets well soon ☹️💖
165,🧕🏻,356,145,0,"Jawa Barat, Indonesia","Miniso Official parfum wanita Wild Strawberry minyak wangi cewek EDT eau de toilette 

📎 https://t.co/jXKCVwakyT https://t.co/4kna4iIIX2"
166,luh,8003,240,1,/ svt / atz / nct / en- /,"i can attest,,,,, i became an atiny after seeing this https://t.co/S2Tb8whWKu"
167,🧕🏻,356,145,0,"Jawa Barat, Indonesia","Miniso Cityscape perfume Elegant and refreshing lady perfume OriginaI parfum 

📎 https://t.co/zdnb0UJZZR https://t.co/rlxuP5VEVK"
168,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @atinyteez009: prayer circle:

                     🕯     🕯
             🕯                      🕯
                      ATEEZ’S…"
169,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @ATEEZofficialjp: [🎬] ATEEZ - 'ROCKY (Boxers Ver.)' MV Reaction Teaser

https://t.co/4N2liDmVzn

#ATEEZ #ROCKY #BEYOND_ZERO #에이티즈 #エイティーズ"
170,luh,8003,240,0,/ svt / atz / nct / en- /,RT @woochwe: ATEEZ - 'ROCKY (Boxers Ver.)' MV Reaction Teaser https://t.co/ea8XU5zdp1
171,luh,8003,240,0,/ svt / atz / nct / en- /,simp https://t.co/eQFbAjz5dn
172,🧕🏻,356,145,0,"Jawa Barat, Indonesia","Miniso Official Parfum Isi 30ml /lady perfume EDT Dupe Peony Bamboo/Wild Strawberry/British Pear 

📎… https://t.co/yHk10lFsN1"
173,luh,8003,240,0,/ svt / atz / nct / en- /,feel better the soonest ☹️ https://t.co/RSLJGSj8f7
